condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,is_fixture
A3_feedback_propagasi,entity,0.6819630487589712,0.9444444444444444,0.5740740740740741,0.7037037037037037,0.5455377955377956,0.20078740157480315,0.9093852832038087,0.3330490789671934,0.28649035521634236,583.0,54.0,0.09262435677530018,42,169,0.9174784397697299,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.60377102106538,0.9444444444444444,0.5,0.6296296296296297,0.5220184170211948,0.16293929712460065,0.9015405491698596,0.35666042973971956,0.2970652484081434,750.0,54.0,0.072,42,169,0.9174784397697299,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6446620907898817,0.9259259259259259,0.5370370370370371,0.6666666666666666,0.5601100907388512,0.20920502092050208,0.8994959042218021,0.3081564318921933,0.24916623716588981,583.0,54.0,0.09262435677530018,43,56,0.908801859014582,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5826808641748635,0.9259259259259259,0.5185185185185185,0.6111111111111112,0.5350996641764107,0.1694915254237288,0.8854565772669221,0.3442726989748328,0.2641343793055889,750.0,54.0,0.072,43,56,0.908801859014582,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.611354633551003,0.9074074074074074,0.5185185185185185,0.6296296296296297,0.5429444450818198,0.19678714859437751,0.877021634110481,0.3311485272790616,0.28392255166306624,583.0,54.0,0.09262435677530018,44,96,0.9142403778380296,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5502256723860023,0.9074074074074074,0.46296296296296297,0.5740740740740741,0.5276506516568658,0.16387959866220736,0.868960195828012,0.3637529914757808,0.29273010761898527,750.0,54.0,0.072,44,96,0.9142403778380296,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6780078503670426,0.9074074074074074,0.5555555555555556,0.6851851851851852,0.5429444450818198,0.19678714859437751,0.9021214030665827,0.3324535000487384,0.2940123120477983,583.0,54.0,0.09262435677530018,45,119,0.91846359389574,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.6365207482554434,0.9074074074074074,0.5370370370370371,0.6481481481481481,0.5285773677541971,0.1644295302013423,0.899930821626224,0.34251733643731985,0.2891549573811514,750.0,54.0,0.072,45,119,0.91846359389574,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,entity,0.6771844977689534,0.9259259259259259,0.5555555555555556,0.7222222222222222,0.5274600008142328,0.18867924528301888,0.9017363299026815,0.3666147115821103,0.32503054884174315,583.0,54.0,0.09262435677530018,46,168,0.9197258320417783,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
A3_feedback_propagasi,all,0.5728780438182428,0.9259259259259259,0.5185185185185185,0.6296296296296297,0.5111111111111111,0.1557632398753894,0.8934653043848446,0.3855727460441682,0.3273301559456216,750.0,54.0,0.072,46,168,0.9197258320417783,91,50,37,33,42,D:\Personal\satpam\data\synthetic\seed_42\human_annotations_majority.csv,False
