seed,model,split,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,best_epoch,val_auprc_weak,num_parameters,num_features
44,xgb_graph,val,entity,0.08984088352890382,0.5,0.1111111111111111,0.2777777777777778,0.41281444112701193,0.06896551724137931,0.5782691536301644,0.38952452644697877,0.33808979958168184,590.0,36.0,0.061016949152542375,175.0,0.829692263998315,,160.0
44,xgb_graph,val,all,0.08165748087179313,0.5,0.1111111111111111,0.2777777777777778,0.4289044289044289,0.061224489795918366,0.5858232181761593,0.36661995062076796,0.29518122741752306,750.0,36.0,0.048,175.0,0.829692263998315,,160.0
44,xgb_graph,test,entity,0.11551510178402503,0.7894736842105263,0.15789473684210525,0.3684210526315789,0.4166468314933505,0.06,0.6337035248672139,0.4026477353948504,0.3302479544416861,564.0,19.0,0.03368794326241135,175.0,0.829692263998315,,160.0
44,xgb_graph,test,all,0.1112269422052287,0.7894736842105263,0.15789473684210525,0.3684210526315789,0.4239936440677966,0.04983388704318937,0.6587947296421629,0.38640391455272527,0.2907080757105176,750.0,19.0,0.025333333333333333,175.0,0.829692263998315,,160.0
44,gcn_homogeneous,val,entity,0.08920822569577969,0.4722222222222222,0.1388888888888889,0.2777777777777778,0.4064589114680414,0.06463878326996197,0.5658844765342961,0.389286314125569,0.314237022981136,590.0,36.0,0.061016949152542375,87.0,0.8386107731666249,21250.0,
44,gcn_homogeneous,val,all,0.05469893025980847,0.4722222222222222,0.05555555555555555,0.1388888888888889,0.3610473320286445,0.04415584415584416,0.5190242763772175,0.4485492197207871,0.3570731405574353,750.0,36.0,0.048,87.0,0.8386107731666249,21250.0,
44,gcn_homogeneous,test,entity,0.048993518975501804,0.5263157894736842,0.10526315789473684,0.10526315789473684,0.36883227867418156,0.036231884057971016,0.5251569290197972,0.4201656750155849,0.33592060208307295,564.0,19.0,0.03368794326241135,87.0,0.8386107731666249,21250.0,
44,gcn_homogeneous,test,all,0.025031626108596536,0.5263157894736842,0.05263157894736842,0.10526315789473684,0.32674030366111195,0.023923444976076555,0.4729642162862697,0.48670875606588015,0.3895254602038138,750.0,19.0,0.025333333333333333,87.0,0.8386107731666249,21250.0,
45,rgcn,val,entity,0.5194012343722205,0.6666666666666666,0.47058823529411764,0.5490196078431373,0.45893879190394904,0.12546125461254612,0.7403676019210631,0.394868092309956,0.3565853836047168,594.0,51.0,0.08585858585858586,77.0,0.9135724509544809,144130.0,
45,rgcn,val,all,0.4318537070283281,0.6666666666666666,0.4117647058823529,0.5294117647058824,0.44777016018755944,0.10240963855421686,0.7140733260400011,0.4291639973145199,0.36162854099641634,750.0,51.0,0.068,77.0,0.9135724509544809,144130.0,
45,rgcn,test,entity,0.41108001919435,0.7692307692307693,0.48717948717948717,0.5897435897435898,0.4583061725918869,0.11764705882352941,0.7684839432412248,0.3989793809593659,0.34606734691200725,554.0,39.0,0.0703971119133574,77.0,0.9135724509544809,144130.0,
45,rgcn,test,all,0.2868995343428794,0.7692307692307693,0.358974358974359,0.5384615384615384,0.43609022556390975,0.08797653958944282,0.7473042662916081,0.44140711895417917,0.3538088335569141,750.0,39.0,0.052,77.0,0.9135724509544809,144130.0,
45,rule_based,val,entity,0.1488963262417029,0.7450980392156863,0.21568627450980393,0.3333333333333333,0.4185575950281833,0.11764705882352941,0.6494601523850794,0.45353535330706984,0.3564309760732483,594.0,51.0,0.08585858585858586,,,,
45,rule_based,val,all,0.11837038630566366,0.7450980392156863,0.21568627450980393,0.3333333333333333,0.3887454890964575,0.09047619047619047,0.6446323880052736,0.476400000333786,0.3647866670139632,750.0,51.0,0.068,,,,
45,rule_based,test,entity,0.14754106886734947,0.8461538461538461,0.358974358974359,0.38461538461538464,0.41399305978327045,0.10819672131147541,0.7216828478964402,0.47003610122827844,0.35004512646138036,554.0,39.0,0.0703971119133574,,,,
45,rule_based,test,all,0.11375820599799741,0.8461538461538461,0.358974358974359,0.358974358974359,0.37656894225048765,0.07710280373831775,0.7171733564138627,0.4934000005622704,0.3597900006886324,750.0,39.0,0.052,,,,
45,mlp,val,entity,0.19859863932214164,0.5686274509803921,0.17647058823529413,0.21568627450980393,0.3960911267775207,0.0932475884244373,0.5473224280504099,0.41548976668717985,0.3139020131753566,594.0,51.0,0.08585858585858586,109.0,0.7867840188483799,4866.0,
45,mlp,val,all,0.16946346001246004,0.5686274509803921,0.1568627450980392,0.19607843137254902,0.36574723390992675,0.07004830917874397,0.5245308423798705,0.4510355690295497,0.33730780844383623,750.0,51.0,0.068,109.0,0.7867840188483799,4866.0,
45,mlp,test,entity,0.24355545250508776,0.5384615384615384,0.28205128205128205,0.3076923076923077,0.37208549222797926,0.0707070707070707,0.5538959422454568,0.4195232506528739,0.31560938583573717,554.0,39.0,0.0703971119133574,109.0,0.7867840188483799,4866.0,
45,mlp,test,all,0.15836206980190518,0.5384615384615384,0.2564102564102564,0.28205128205128205,0.3539092205323194,0.05134474327628362,0.536333802156587,0.4572018491812051,0.3394821070779693,750.0,39.0,0.052,109.0,0.7867840188483799,4866.0,
45,xgb_graph,val,entity,0.27966748989698975,0.6274509803921569,0.2549019607843137,0.37254901960784315,0.4525345622119815,0.11895910780669144,0.6744664716715415,0.3641560047744188,0.3192133900676663,594.0,51.0,0.08585858585858586,79.0,0.8852717905578964,,160.0
45,xgb_graph,val,all,0.2692598926356,0.6274509803921569,0.2549019607843137,0.37254901960784315,0.45507211393398106,0.10191082802547771,0.6818143566439452,0.3604161074080815,0.28768875044546693,750.0,51.0,0.068,79.0,0.8852717905578964,,160.0
45,xgb_graph,test,entity,0.24987107853548893,0.6923076923076923,0.3333333333333333,0.41025641025641024,0.4521765332495852,0.10887096774193548,0.6828478964401294,0.3873795218268134,0.3202080038317897,554.0,39.0,0.0703971119133574,79.0,0.8852717905578964,,160.0
45,xgb_graph,test,all,0.24105788733335465,0.6923076923076923,0.3333333333333333,0.41025641025641024,0.4599961565562744,0.09121621621621621,0.6994121677665981,0.37080385187516607,0.27590147873777693,750.0,39.0,0.052,79.0,0.8852717905578964,,160.0
