condition,scope,auprc,recall,recall_at_50,recall_at_100,macro_f1,precision,roc_auc,ece,brier,n,n_pos,pos_rate,repeat_seed,best_epoch,val_auprc_weak,n_supervised,budget,n_annotations_used,n_annotations_positive,seed,annotation_source,annotation_manifest,is_fixture
A2_feedback_langsung,entity,0.6577657277618031,0.9259259259259259,0.5555555555555556,0.6851851851851852,0.5486647657591366,0.20161290322580644,0.8991808443604286,0.3249762349115485,0.2831810680698052,583.0,54.0,0.09262435677530018,42,162,0.917069023397597,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5778415602398637,0.9259259259259259,0.48148148148148145,0.6111111111111112,0.5202462132641361,0.1607717041800643,0.8864942528735633,0.36280642502435456,0.30176458190629674,750.0,54.0,0.072,42,162,0.917069023397597,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6229479882064853,0.8703703703703703,0.5,0.6666666666666666,0.5565127347312664,0.20346320346320346,0.8862633900441084,0.2915697433105637,0.2556795670776703,583.0,54.0,0.09262435677530018,43,108,0.9185521509937811,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5705351766182418,0.8703703703703703,0.48148148148148145,0.6111111111111112,0.5396827034164053,0.16906474820143885,0.8791507024265646,0.3097834842890556,0.2558725680191656,750.0,54.0,0.072,43,108,0.9185521509937811,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6255410466657921,0.8888888888888888,0.5185185185185185,0.6666666666666666,0.5484753546478818,0.1991701244813278,0.8906742281033396,0.31889072975187727,0.2831929897180026,583.0,54.0,0.09262435677530018,44,104,0.9218987940945351,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5393521519586771,0.8888888888888888,0.48148148148148145,0.5740740740740741,0.529482042835255,0.16382252559726962,0.8724457215836526,0.3584273685879199,0.2964825167436447,750.0,54.0,0.072,44,104,0.9218987940945351,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6184987769389143,0.8888888888888888,0.5185185185185185,0.6111111111111112,0.5273824536119618,0.18604651162790697,0.8779318070433382,0.336529526513891,0.2938788713624258,583.0,54.0,0.09262435677530018,45,91,0.9208147760351509,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5450425329903138,0.8888888888888888,0.48148148148148145,0.5925925925925926,0.5111961925009199,0.15335463258785942,0.868348233290762,0.353412113487271,0.2983505201835387,750.0,54.0,0.072,45,91,0.9208147760351509,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,entity,0.6174884316997906,0.9444444444444444,0.5185185185185185,0.6481481481481481,0.5169528013459486,0.18411552346570398,0.881327452215921,0.37226142734252465,0.3296368251505498,583.0,54.0,0.09262435677530018,46,110,0.913231215387336,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A2_feedback_langsung,all,0.5192082193588581,0.9444444444444444,0.46296296296296297,0.5925925925925926,0.5091933883599671,0.1559633027522936,0.8731907194550873,0.39001259261341176,0.32587809597228956,750.0,54.0,0.072,46,110,0.913231215387336,18,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.6860718224044765,0.9444444444444444,0.5555555555555556,0.7407407407407407,0.5569584119305798,0.20816326530612245,0.9128334383532871,0.3081296251985879,0.2543909523544608,583.0,54.0,0.09262435677530018,42,118,0.9110282015229798,73,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.6071682870468266,0.9444444444444444,0.5,0.6481481481481481,0.5322444409523062,0.16887417218543047,0.8990527884206044,0.3492507005921689,0.2726969541591791,750.0,54.0,0.072,42,118,0.9110282015229798,73,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.6261359094732465,0.9074074074074074,0.5370370370370371,0.6666666666666666,0.5555516460832952,0.20502092050209206,0.8957501925365821,0.30921942759792004,0.25088151574668754,583.0,54.0,0.09262435677530018,43,56,0.9116477692387581,73,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.5761902909111115,0.9074074074074074,0.5,0.6111111111111112,0.5332311899042967,0.16723549488054607,0.8843124733929332,0.3396630840297131,0.2606473543035146,750.0,54.0,0.072,43,56,0.9116477692387581,73,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,entity,0.6096884424574218,0.9074074074074074,0.5185185185185185,0.6666666666666666,0.5658004261505069,0.21212121212121213,0.8873135895820206,0.2992831750735834,0.2489834148082716,583.0,54.0,0.09262435677530018,44,79,0.915796385324144,73,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
A3_feedback_propagasi,all,0.4995305922935161,0.9074074074074074,0.46296296296296297,0.5740740740740741,0.541700190449032,0.17253521126760563,0.8675899318859088,0.3430737322948626,0.26852128810746906,750.0,54.0,0.072,44,79,0.915796385324144,73,25,18,12,42,data\synthetic\seed_42\human_annotations_majority.csv,data\synthetic\seed_42\sample_manifest_merged.json,False
